date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:51	181664/181664	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dda8c87-2c5a0%22	http://kyle.malyarchuk.space/fonts/feather.svg?t=1525787366991	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/feathere8ab.svg	(from http://kyle.malyarchuk.space/css/plugins/feather.css)
22:07:57	115052/115052	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225b2a854c-1c16c%22	http://kyle.malyarchuk.space/fonts/fa-brands-400.eot	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/fa-brands-400.eot	(from http://kyle.malyarchuk.space/css/plugins/font-awesome.css)
22:08:04	63376/63376	---M--	200	added ('OK')	font/woff2	etag:%225b2a854c-f790%22	http://kyle.malyarchuk.space/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/fa-brands-400.woff2	(from http://kyle.malyarchuk.space/css/plugins/font-awesome.css)
22:08:08	73920/73920	---M--	200	added ('OK')	font/woff	etag:%225b2a854c-120c0%22	http://kyle.malyarchuk.space/fonts/fa-brands-400.woff	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/fa-brands-400.woff	(from http://kyle.malyarchuk.space/css/plugins/font-awesome.css)
22:08:13	115052/115052	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225b2a854c-1c16c%22	http://kyle.malyarchuk.space/fonts/fa-brands-400.eot?	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/fa-brands-400d41d.eot	(from http://kyle.malyarchuk.space/css/plugins/font-awesome.css)
22:08:19	14952/14952	---M--	200	added ('OK')	font/woff2	etag:%225b2a854c-3a68%22	http://kyle.malyarchuk.space/fonts/fa-regular-400.woff2	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/fa-regular-400.woff2	(from http://kyle.malyarchuk.space/css/plugins/font-awesome.css)
22:08:19	622420/622420	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b2a854c-97f54%22	http://kyle.malyarchuk.space/fonts/fa-brands-400.svg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/fa-brands-400.svg	(from http://kyle.malyarchuk.space/css/plugins/font-awesome.css)
22:08:20	40744/40744	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225b2a854c-9f28%22	http://kyle.malyarchuk.space/fonts/fa-regular-400.eot	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/fa-regular-400.eot	(from http://kyle.malyarchuk.space/css/plugins/font-awesome.css)
22:08:22	114816/114816	---M--	200	added ('OK')	application/octet-stream	etag:%225b2a854c-1c080%22	http://kyle.malyarchuk.space/fonts/fa-brands-400.ttf	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/fa-brands-400.ttf	(from http://kyle.malyarchuk.space/css/plugins/font-awesome.css)
22:08:23	18212/18212	---M--	200	added ('OK')	font/woff	etag:%225b2a854c-4724%22	http://kyle.malyarchuk.space/fonts/fa-regular-400.woff	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/fa-regular-400.woff	(from http://kyle.malyarchuk.space/css/plugins/font-awesome.css)
22:08:23	40744/40744	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225b2a854c-9f28%22	http://kyle.malyarchuk.space/fonts/fa-regular-400.eot?	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/fa-regular-400d41d.eot	(from http://kyle.malyarchuk.space/css/plugins/font-awesome.css)
22:08:24	40516/40516	---M--	200	added ('OK')	application/octet-stream	etag:%225b2a854c-9e44%22	http://kyle.malyarchuk.space/fonts/fa-regular-400.ttf	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/fa-regular-400.ttf	(from http://kyle.malyarchuk.space/css/plugins/font-awesome.css)
22:08:27	141551/141551	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b2a854c-228ef%22	http://kyle.malyarchuk.space/fonts/fa-regular-400.svg	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/fa-regular-400.svg	(from http://kyle.malyarchuk.space/css/plugins/font-awesome.css)
22:08:39	59572/59572	---M--	200	added ('OK')	font/woff2	etag:%225b2a854c-e8b4%22	http://kyle.malyarchuk.space/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/port/kyle.malyarchuk.space/fonts/fa-solid-900.woff2	(from http://kyle.malyarchuk.space/css/plugins/font-awesome.css)
